Energy,Branching,# For quenching collisions 16O1D + 46CO2 --> 18O3P + 44CO2 and 18O1D + 44CO2 --> 18O3P + 44CO2
0,0.3269576,
0.945179584,0.3256,
1.890359168,0.3236,
3.780718336,0.3138,
5.671077505,0.2992,
7.561436673,0.2805,
7.939508507,0.2762,
9.451795841,0.2585,
11.34215501,0.2349,
13.23251418,0.2106,
14.5557656,0.1941,
15.12287335,0.1873,
17.01323251,0.1653,
18.90359168,0.1455,
20,0.12926874,
25,0.068945208,
30,0.010173411,
40,0.004643333,
