Energy,Branching,# For 17O1D + 44CO2 --> 17O1D + 44CO2 or 16O1D + 45CO2 --> 17O1D + 45CO2
0,0.0046144,
0.945179584,0.005868,
1.890359168,0.008016,
3.780718336,0.01786,
5.671077505,0.03248,
7.561436673,0.051296,
7.939508507,0.05552,
9.451795841,0.073312,
11.34215501,0.09698,
13.23251418,0.121272,
14.5557656,0.137844,
15.12287335,0.144668,
17.01323251,0.166788,
18.90359168,0.186612,
20,0.202300089,
25,0.263117521,
30,0.321977919,
40,0.327516333,
