Energy,Branching,# For inelastic collisions 16O1D + 46CO2 --> 18O1D + 44CO2 and 18O1D + 44CO2 --> 18O1D + 44CO2
0,0.00448,
0.945179584,0.0057,
1.890359168,0.0078,
3.780718336,0.0175,
5.671077505,0.032,
7.561436673,0.0506,
7.939508507,0.0548,
9.451795841,0.0724,
11.34215501,0.0959,
13.23251418,0.12,
14.5557656,0.1365,
15.12287335,0.1433,
17.01323251,0.1653,
18.90359168,0.1851,
20,0.200106033,
25,0.260741146,
30,0.31906994,
40,0.324558333,
